record_id,App Id,Name,Developers,Publishers,Metascores,Owners,Genres
25,1097150,Fall Guys: Ultimate Knockout,Mediatonic,Devolver Digital,0.8,5000000,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Sports']"
57,1222140,Detroit: Become Human,Quantic Dream,Quantic Dream,0.8,200000,"['Action', 'Adventure']"
63,1284410,GWENT: The Witcher Card Game,CD PROJEKT RED,CD PROJEKT RED,0.8,500000,"['Free to Play', 'RPG', 'Strategy']"
86,201870,Assassin's Creed Revelations,Ubisoft Montreal,Ubisoft,0.8,500000,"['Action', 'Adventure']"
87,202170,Sleeping Dogs,United Front Games,Square Enix,0.8,1000000,"['Action', 'Adventure']"
111,208480,Assassinâ€™s Creed III,Ubisoft Montreal,Ubisoft,0.8,1000000,['Adventure']
138,214510,LEGO The Lord of the Rings,Traveller's Tales,Warner Bros. Interactive Entertainment,0.8,500000,"['Action', 'Adventure']"
183,225260,Brutal Legend,Double Fine Productions,Double Fine Productions,0.8,2000000,"['Action', 'Adventure', 'Strategy']"
187,226840,Age of Wonders III,Triumph Studios,Paradox Interactive,0.8,1000000,"['RPG', 'Strategy']"
200,231430,Company of Heroes 2,Relic Entertainment,SEGA,0.8,5000000,['Strategy']
214,234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,0.8,500000,"['Action', 'Adventure']"
227,237990,The Banner Saga,Stoic,Versus Evil,0.8,500000,"['Indie', 'RPG', 'Strategy']"
230,238320,Outlast,Red Barrels,Red Barrels,0.8,2000000,"['Action', 'Adventure', 'Indie']"
302,2600,Vampire: The Masquerade - Bloodlines,Troika Games,Activision,0.8,500000,['Action']
304,261030,The Walking Dead: Season Two,Telltale Games,Skybound Games,0.8,1000000,['Adventure']
338,274520,Darkwood,Acid Wizard Studio,Acid Wizard Studio,0.8,200000,"['Action', 'Adventure', 'Indie', 'RPG', 'in Early Access']"
384,298110,Far Cry 4,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,0.8,1000000,"['Action', 'Adventure']"
389,300,Day of Defeat: Source,Valve,Valve,0.8,5000000,['Action']
410,311340,METAL GEAR SOLID V: GROUND ZEROES,Konami Digital Entertainment,Konami Digital Entertainment,0.8,1000000,"['Action', 'Adventure']"
435,323850,Move or Die,Those Awesome Guys,Those Awesome Guys,0.8,1000000,"['Action', 'Indie', 'in Early Access']"
439,325610,Total War: ATTILA,CREATIVE ASSEMBLY,SEGA,0.8,1000000,['Strategy']
484,35700,Trine Enchanted Edition,Frozenbyte,Frozenbyte,0.8,2000000,"['Action', 'Adventure', 'Indie']"
488,359320,Elite Dangerous,Frontier Developments,Frontier Developments,0.8,1000000,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']"
498,362960,Tyranny,Obsidian Entertainment,Paradox Interactive,0.8,500000,"['Adventure', 'RPG']"
503,365360,Battle Brothers,Overhype Studios,Overhype Studios,0.8,500000,"['Indie', 'RPG', 'Strategy', 'in Early Access']"
551,388880,Oxenfree,Night School Studio,Night School Studio,0.8,200000,"['Adventure', 'Indie']"
